,cor_name,rpt_year,rpt_month,rcpNo,dcmNo,eleId,offset,length,dtd,tocNo
1782,CJ대한통운,2006,12,20070329000821,1561343,4638,521180,359411,dart2.dtd,11
1783,CJ씨푸드,2006,12,20070329000336,1559669,3951,417022,257353,dart2.dtd,11
1784,CS홀딩스,2006,12,20070330001586,1571644,2480,255443,352476,dart2.dtd,22
1785,DB,2006,12,20070328000792,1558385,3508,382943,431599,dart2.dtd,20
1786,DB금융투자,2007,3,20070628000288,1669059,3295,346311,1134090,dart2.dtd,16
1787,DB손해보험,2007,3,20070629000373,1670615,2757,286725,475423,dart2.dtd,16
1788,DB하이텍,2006,12,20070328000717,1558178,4369,477813,523337,dart2.dtd,20
1789,DL,2006,12,20070330002017,1574112,6873,757649,548379,dart2.dtd,20
1790,DL건설,2006,12,20070330001820,1573028,3421,366493,376973,dart2.dtd,20
1791,DN오토모티브,2006,12,20070330002134,1574839,2818,293165,308216,dart2.dtd,20
1792,DRB동일,2006,12,20070330001127,1569072,3621,376015,809781,dart2.dtd,20
1793,DSR제강,2006,12,20070330000323,1564773,2143,211055,279289,dart2.dtd,20
1794,E1,2006,12,20070330001214,1569529,3795,420540,235821,dart2.dtd,19
1795,F&F 홀딩스,2006,12,20070329000607,1560521,2996,318023,361930,dart2.dtd,20
1796,GS,2006,12,,,,,,,
1797,GS건설,2006,12,,,,,,,
1798,GS글로벌,2006,12,20070330001446,1570775,4028,407059,315201,dart2.dtd,19
1799,GS리테일,2006,12,,,,,,,
1800,HDC,2006,12,20070330001513,1571215,6024,658179,441382,dart2.dtd,20
1801,HDC현대EP,2006,12,20070330002393,1575998,3188,326559,421082,dart2.dtd,22
1802,HL D&I,2006,12,20070329001144,1562581,4585,492325,307305,dart2.dtd,20
1803,HLB글로벌,2006,12,20070330002266,1575492,2244,234128,279828,dart2.dtd,20
1804,HMM,2006,12,20070330001619,1571889,3244,344439,482893,dart2.dtd,20
1805,HSD엔진,2006,12,20070330000040,1563242,2315,232635,633247,dart2.dtd,20
1806,JW중외제약,2006,12,,,,,,,
1807,KC그린홀딩스,2006,12,20070330001900,1573523,2821,295955,381705,dart2.dtd,20
1808,KEC,2006,12,20070515001742,1644652,2303,236524,483046,dart2.dtd,22
1809,KG스틸,2006,12,20070330000078,1563451,3221,328991,986626,dart2.dtd,20
1810,KG케미칼,2006,12,20070330001588,1571665,3987,444065,529189,dart2.dtd,20
1811,KH 필룩스,2006,12,20070330000652,1566449,2576,258615,295126,dart2.dtd,20
1812,KISCO홀딩스,2006,12,20070330000092,1563540,3112,328525,609722,dart2.dtd,20
1813,KPX케미칼,2006,12,,,,,,,
1814,KPX홀딩스,2006,12,20070330000510,1565730,1414,146586,175701,dart2.dtd,11
1815,KR모터스,2006,12,20070330001515,1571229,2454,257899,496875,dart2.dtd,20
1816,KTcs,2006,12,20070330001134,1569104,1532,146740,163293,dart2.dtd,11
1817,KTis,2006,12,20070330000070,1563402,2265,236651,244007,dart2.dtd,20
1818,LF,2006,12,20070330000158,1563871,3399,344151,185909,dart2.dtd,20
1819,LG,2006,12,20070330000371,1565004,3779,399514,236874,dart2.dtd,11
1820,LG디스플레이,2006,12,20070330002230,1575335,2666,296158,329181,dart2.dtd,20
1821,LG생활건강,2006,12,20070330000570,1566039,3398,355530,871955,dart2.dtd,20
1822,LG유플러스,2006,12,20070322000059,1549227,4085,435310,202725,dart2.dtd,20
1823,LG전자,2006,12,20070330002412,1576070,5388,591483,415335,dart2.dtd,20
1824,LG화학,2006,12,20070330000516,1565775,4400,476152,864976,dart2.dtd,20
1825,LS,2006,12,20070330002003,1574099,4497,491988,1424285,dart2.dtd,20
1826,LS네트웍스,2006,12,20070328000072,1556393,3240,345575,253600,dart2.dtd,19
1827,LX인터내셔널,2006,12,20070328000188,1556692,4460,475103,673909,dart2.dtd,19
1828,MH에탄올,2006,12,20070328000586,1557789,2850,299282,592671,dart2.dtd,20
1829,NAVER,2006,12,20070330002177,1575001,2519,255330,219329,dart2.dtd,11
1830,NH투자증권,2007,3,20070629000415,1670773,3940,456674,530112,dart2.dtd,16
1831,NICE,2006,12,20070330000625,1566325,2429,261814,232942,dart2.dtd,20
1832,NI스틸,2006,12,20070330001759,1572672,4594,480874,458131,dart2.dtd,20
1833,OCI,2006,12,20070330000424,1565321,5166,556566,299763,dart2.dtd,20
1834,POSCO홀딩스,2006,12,20070330001249,1569731,3309,350447,517173,dart2.dtd,20
1835,S-Oil,2006,12,20070330002294,1575601,4903,519970,309824,dart2.dtd,20
1836,SBS,2006,12,20070330000096,1563549,2084,228659,273733,dart2.dtd,20
1837,SGC에너지,2006,12,20070330001355,1570300,3578,367248,444050,dart2.dtd,20
1838,SG글로벌,2006,12,20070330002327,1575729,2788,304763,406721,dart2.dtd,20
1839,SG세계물산,2006,12,20070330000621,1566295,2921,296494,621457,dart2.dtd,20
1840,SHD,2006,12,20070330000414,1565270,3725,368006,301398,dart2.dtd,20
1841,SH에너지화학,2006,12,20070330001284,1569917,3659,374304,471364,dart2.dtd,20
1842,SIMPAC,2006,12,20070329000163,1559108,2488,255789,502142,dart2.dtd,20
1843,SK,2006,12,20070330001572,1571570,4179,444946,942727,dart2.dtd,19
1844,SKC,2006,12,20070330001233,1569614,5596,599543,611533,dart2.dtd,20
1845,SK가스,2006,12,20070330001168,1569293,3137,327079,258350,dart2.dtd,19
1846,SK네트웍스,2006,12,20070329000904,1561647,4490,494706,477554,dart2.dtd,19
1847,SK디스커버리,2006,12,20070330001675,1572177,3931,426560,1078782,dart2.dtd,20
1848,SK렌터카,2006,12,,,,,,,
1849,SK증권,2007,3,20070629000229,1670123,4935,500045,521063,dart2.dtd,16
1850,SK텔레콤,2006,12,20070330001458,1570845,3755,410420,1634712,dart2.dtd,11
1851,SK하이닉스,2006,12,20070515000934,1643595,3958,412927,790824,dart2.dtd,22
1852,SNT모티브,2006,12,20070328000463,1557425,4717,498664,257570,dart2.dtd,20
1853,SNT중공업,2006,12,20070328000456,1557394,3567,386649,293156,dart2.dtd,20
1854,SNT홀딩스,2006,12,20070328000470,1557457,2827,311488,217391,dart2.dtd,20
1855,SPC삼립,2006,12,20070330000997,1568341,2539,270561,227722,dart2.dtd,20
1856,STX,2006,12,20070330000311,1564705,2564,270852,299326,dart2.dtd,19
1857,STX엔진,2006,12,20070330000713,1566807,3549,377194,427627,dart2.dtd,20
1858,SUN&L,2007,9,20071228000439,1778935,2780,287495,763208,dart2.dtd,20
1859,TCC스틸,2006,12,20070329000662,1560751,3136,323063,537302,dart2.dtd,20
1860,TYM,2006,12,20070330000832,1567456,3935,423568,627261,dart2.dtd,20
1861,WISCOM,2006,12,20070328000465,1557437,3665,391382,259607,dart2.dtd,11
1862,YG PLUS,2006,12,20070326000391,1553655,1937,197230,194728,dart2.dtd,11
1863,가온전선,2006,12,20070329000157,1559088,2684,289862,294328,dart2.dtd,20
1864,강남제비스코,2006,12,20070330000865,1567579,4428,462262,292660,dart2.dtd,20
1865,강원랜드,2006,12,20070330001736,1572522,2451,248732,227478,dart2.dtd,11
1866,갤럭시아에스엠,2006,12,20070330002087,1574597,2317,240498,460435,dart2.dtd,20
1867,경농,2006,12,,,,,,,
1868,경동나비엔,2006,12,20070330000790,1567231,2881,308549,645733,dart2.dtd,20
1869,경동인베스트,2006,12,20070330001050,1568579,3351,349222,522929,dart2.dtd,19
1870,경방,2006,12,20070330000083,1563481,3696,372790,441282,dart2.dtd,20
1871,경인양행,2006,12,20070329000179,1559183,4709,503185,272606,dart2.dtd,20
1872,경인전자,2006,12,20070329000406,1559852,2739,288366,806853,dart2.dtd,20
1873,계룡건설산업,2006,12,20070330002139,1574778,4539,483591,352418,dart2.dtd,22
1874,계양전기,2006,12,20070330000126,1563726,2624,262464,486113,dart2.dtd,20
1875,고려산업,2006,12,20070330001164,1569236,2543,259819,371261,dart2.dtd,20
1876,고려아연,2006,12,20070330001426,1570662,3925,427662,346211,dart2.dtd,20
1877,고려제강,2006,12,20070329000590,1560462,2750,294050,322696,dart2.dtd,20
1878,광동제약,2006,12,20070330000980,1568245,2866,306716,187867,dart2.dtd,20
1879,광명전기,2006,12,,,,,,,
1880,광전자,2006,12,20070330000571,1566043,5243,578451,921548,dart2.dtd,20
1881,광주신세계,2006,12,20070330000263,1564432,3666,378672,308013,dart2.dtd,19
1882,교보증권,2007,3,20070629000081,1669558,6278,646006,705678,dart2.dtd,16
1883,국도화학,2006,12,20070329000510,1560181,3173,327115,427126,dart2.dtd,20
1884,국동,2006,12,,,,,,,
1885,국보,2006,12,20070330000285,1564577,2342,235654,212779,dart2.dtd,11
1886,국제약품,2007,3,20070626000045,1666868,3626,374742,336703,dart2.dtd,20
1887,그린케미칼,2006,12,20070330000975,1568217,2414,246163,283245,dart2.dtd,20
1888,극동유화,2006,12,20070330000488,1565634,3663,389550,362711,dart2.dtd,20
1889,금강공업,2006,12,20070330000908,1567828,2949,319173,146611,dart2.dtd,20
1890,금비,2007,9,20071228000250,1778398,2751,281221,410891,dart2.dtd,20
1891,금양,2006,12,20070330000925,1567911,2372,253593,494019,dart2.dtd,20
1892,금호건설,2006,12,20070330001634,1571972,6107,666257,358519,dart2.dtd,11
1893,금호석유화학,2006,12,20070330001434,1570704,3315,355156,659045,dart2.dtd,20
1894,금호전기,2006,12,20070330002180,1575052,2838,291874,262404,dart2.dtd,20
1895,금호타이어,2006,12,20070330000449,1565471,3482,371416,492515,dart2.dtd,20
1896,기아,2006,12,20070330002095,1574616,6028,644783,420140,dart2.dtd,20
1897,기업은행,2006,12,20070330001799,1572927,5126,559010,728901,dart2.dtd,16
1898,까뮤이앤씨,2006,12,20070330001704,1572306,3676,381860,662275,dart2.dtd,20
1899,깨끗한나라,2006,12,20070330001557,1571502,2694,289837,451814,dart2.dtd,20
1900,남광토건,2006,12,20070417000041,1608820,3680,396806,308203,dart2.dtd,22
1901,남선알미늄,2006,12,20070330000829,1567446,2986,307776,223518,dart2.dtd,20
1902,남성,2006,12,,,,,,,
1903,남양유업,2006,12,20070330000936,1567998,3517,375179,206807,dart2.dtd,20
1904,남해화학,2006,12,20070330000122,1563689,3405,366345,829939,dart2.dtd,20
1905,넥센,2006,12,20070330000033,1563210,2424,244625,244443,dart2.dtd,20
1906,넥센타이어,2006,12,20070330000217,1564192,2501,256827,289245,dart2.dtd,20
1907,노루페인트,2006,12,20070330002115,1574753,2803,284895,281712,dart2.dtd,20
1908,노루홀딩스,2006,12,20070330001523,1571297,3290,348529,549504,dart2.dtd,20
1909,녹십자,2006,12,20070330001238,1569673,3227,336998,363025,dart2.dtd,20
1910,녹십자홀딩스,2006,12,20070330000678,1566617,3315,349157,363126,dart2.dtd,20
1911,농심,2006,12,20070330000320,1564777,3684,393639,1348064,dart2.dtd,20
1912,농심홀딩스,2006,12,20070330001340,1570216,1954,196133,146491,dart2.dtd,11
1913,다스코,2006,12,20070330000327,1564809,4289,468369,215673,dart2.dtd,20
1914,다올투자증권,2006,12,20070330002311,1575676,2732,288839,1294583,dart2.dtd,16
1915,다우기술,2006,12,20070330002349,1575861,3092,339973,240125,dart2.dtd,20
1916,대교,2006,12,20070330000718,1566837,4372,485800,308182,dart2.dtd,20
1917,대구백화점,2007,3,20070628000093,1668504,3055,311155,553393,dart2.dtd,19
1918,대덕,2006,12,20070330001140,1569125,2244,241543,243755,dart2.dtd,20
1919,대동,2006,12,20070329000984,1561967,3898,414678,666531,dart2.dtd,20
1920,대동전자,2007,3,20070629000102,1669640,2307,242814,305330,dart2.dtd,20
1921,대림비앤코,2006,12,20070330002255,1575367,2778,285540,368990,dart2.dtd,20
1922,대림통상,2006,12,20070330001732,1572527,3238,353446,416673,dart2.dtd,20
1923,대상,2006,12,20070330001496,1571118,3872,416823,864457,dart2.dtd,20
1924,대상홀딩스,2006,12,20070430000734,1618750,2335,264602,533845,dart2.dtd,13
1925,대성홀딩스,2006,12,20070330000113,1563640,3545,387742,332335,dart2.dtd,19
1926,대신증권,2007,3,20070629000067,1669513,3265,345113,918226,dart2.dtd,16
1927,대양금속,2006,12,20070329000652,1560716,3331,341067,457283,dart2.dtd,20
1928,대영포장,2006,12,20070330001252,1569729,2961,309731,321007,dart2.dtd,20
1929,대우건설,2006,12,20070330001737,1572558,7354,817833,1093825,dart2.dtd,20
1930,대우부품,2006,12,20070330000664,1566520,3896,416265,287737,dart2.dtd,20
1931,대우조선해양,2006,12,20070330001231,1569593,2608,281737,447519,dart2.dtd,20
1932,대웅,2007,3,20070629000221,1670088,2915,315276,667972,dart2.dtd,20
1933,대웅제약,2007,3,20070629000224,1670099,3789,417058,475436,dart2.dtd,20
1934,대원강업,2006,12,20070330000248,1564367,3545,371396,238713,dart2.dtd,20
1935,대원전선,2006,12,20070329001151,1562606,3115,313042,337785,dart2.dtd,20
1936,대원제약,2006,12,20070330000706,1566759,2541,274400,624534,dart2.dtd,20
1937,대원화성,2006,12,20070330000528,1565829,3654,391754,251410,dart2.dtd,20
1938,대유에이텍,2006,12,20070330001234,1569632,2605,292358,619584,dart2.dtd,20
1939,대유플러스,2006,12,20070330001836,1573123,3057,329388,321668,dart2.dtd,20
1940,대창,2006,12,20070329000956,1561875,3022,317689,810313,dart2.dtd,20
1941,대창단조,2006,12,20070330001320,1570122,2899,307514,393156,dart2.dtd,20
1942,대한방직,2006,12,20070330001079,1568784,3765,391403,332033,dart2.dtd,20
